2026-03-11 13:34:07 | RetrievalService | INFO | RetrievalService initialized
2026-03-11 13:34:34 | RetrievalService | INFO |   [SelfCorrect] Hop 0 — searching for: 'Were Scott Derrickson and Ed Wood of the same nationality?'
2026-03-11 13:34:34 | RetrievalService | INFO |   [Retrieval] Hybrid Search for: 'Were Scott Derrickson and Ed Wood of the same nationality?'
2026-03-11 13:34:44 | RetrievalService | INFO |   [LLM Analysis] Intent: compare, Temporal: False, Entities: ['Scott Derrickson', 'Ed Wood'], Expected Types: ['Person'], Attribute: nationality
2026-03-11 13:34:45 | RetrievalService | INFO |   [⏱️ Timing] Dynamic instruction generation: 1.26s
2026-03-11 13:34:46 | RetrievalService | INFO |   [⏱️ Timing] Total query embedding: 2.69s
2026-03-11 13:34:49 | RetrievalService | INFO |   [Entity] Found 6 nodes by name: ['scott derrickson', 'ed wood', 'Ed Wood: Cult Filmmaker and Hollywood', 'ed wood sr.', 'ed wood films', 'Conrad Brooks: Ed Wood Era Actor & Filmmaker']
2026-03-11 13:34:49 | RetrievalService | INFO |   [⏱️ Timing] Entity name matching: 2.99s
2026-03-11 13:34:50 | RetrievalService | INFO |   [Vector] Found 10 semantically similar nodes: ['july 16, 1966', 'cult filmmaker', 'comedy-drama', 'edward davis wood jr.', 'wood hollow', 'johnny depp', 'wood plantation', 'woodson lake', 'plantation history', 'hollywood']
2026-03-11 13:34:50 | RetrievalService | INFO |   [⏱️ Timing] Vector search: 0.70s
2026-03-11 13:34:50 | RetrievalService | INFO |   [Alias] Checking 16 nodes for IS_SAME_AS / IS_VARIANT_OF links
2026-03-11 13:34:50 | RetrievalService | INFO |   [Alias] After alias resolution: 16 nodes (0 added via IS_SAME_AS / IS_VARIANT_OF)
2026-03-11 13:34:50 | RetrievalService | INFO |   [Retrieval] Found 8 grounding notes (for source links)
2026-03-11 13:34:50 | RetrievalService | DEBUG |   [Retrieval] node_to_notes keys: ['ed wood', 'ed wood films', 'hollywood', 'scott derrickson', 'edward davis wood jr.', 'ed wood sr.', 'wood hollow', 'wood plantation', 'woodson lake', 'plantation history', 'cult filmmaker', 'comedy-drama', 'johnny depp', 'july 16, 1966']
2026-03-11 13:34:50 | RetrievalService | INFO |   [⏱️ Timing] Retrieval phase: 3.99s (6 entity + 10 vector nodes)
2026-03-11 13:34:50 | RetrievalService | INFO |   [Retrieval] Prepared 16 candidates (6 entity + 10 vector + 0 community)
2026-03-11 13:34:53 | RetrievalService | DEBUG |   [Type Scoring] Expected types: ['Person'], Attribute: nationality
2026-03-11 13:34:53 | RetrievalService | INFO |   [⏱️ Timing] Total ranking: 2.6402s
2026-03-11 13:34:53 | RetrievalService | INFO |   [Retrieval] Top 16 results by source: entity=6, vector=10, neighbor=0, community=0
2026-03-11 13:34:53 | RetrievalService | INFO |     1. [entity_match] scott derrickson (combined: 1.00, semantic: 1.00, type: 1.00)
2026-03-11 13:34:53 | RetrievalService | INFO |     2. [entity_match] ed wood sr. (combined: 1.00, semantic: 1.00, type: 1.00)
2026-03-11 13:34:53 | RetrievalService | INFO |     3. [vector_match] edward davis wood jr. (combined: 0.90, semantic: 0.85, type: 1.00)
2026-03-11 13:34:53 | RetrievalService | INFO |     4. [vector_match] johnny depp (combined: 0.90, semantic: 0.83, type: 1.00)
2026-03-11 13:34:53 | RetrievalService | INFO |     5. [entity_match] Ed Wood: Cult Filmmaker and Hollywood (combined: 0.69, semantic: 1.00, type: 0.30)
2026-03-11 13:34:53 | RetrievalService | INFO |     6. [entity_match] Conrad Brooks: Ed Wood Era Actor & Filmmaker (combined: 0.69, semantic: 1.00, type: 0.30)
2026-03-11 13:34:53 | RetrievalService | INFO |     7. [entity_match] ed wood (combined: 0.59, semantic: 1.00, type: 0.10)
2026-03-11 13:34:53 | RetrievalService | INFO |     8. [entity_match] ed wood films (combined: 0.59, semantic: 1.00, type: 0.10)
2026-03-11 13:34:53 | RetrievalService | INFO |     9. [vector_match] cult filmmaker (combined: 0.59, semantic: 0.86, type: 0.30)
2026-03-11 13:34:53 | RetrievalService | INFO |     10. [vector_match] comedy-drama (combined: 0.59, semantic: 0.85, type: 0.30)
2026-03-11 13:34:53 | RetrievalService | DEBUG | ====================================================================================================
2026-03-11 13:34:53 | RetrievalService | DEBUG | RETRIEVAL SESSION: 2026-03-11T13:34:53.491416
2026-03-11 13:34:53 | RetrievalService | DEBUG | QUERY: Were Scott Derrickson and Ed Wood of the same nationality?
2026-03-11 13:34:53 | RetrievalService | DEBUG | EXTRACTED ENTITIES: ['Scott Derrickson', 'Ed Wood']
2026-03-11 13:34:53 | RetrievalService | DEBUG | EXTRACTED CONCEPTS: []
2026-03-11 13:34:53 | RetrievalService | DEBUG | ====================================================================================================
2026-03-11 13:34:53 | RetrievalService | DEBUG | 
--- RESULT 1 ---
2026-03-11 13:34:53 | RetrievalService | DEBUG | TYPE: entity_match
2026-03-11 13:34:53 | RetrievalService | DEBUG | SCORE: 1.00
2026-03-11 13:34:53 | RetrievalService | DEBUG | BOOSTS: {'source': 'entity_match', 'domain': 1.0}
2026-03-11 13:34:53 | RetrievalService | DEBUG | SYMBOLIC IMMUNE: False
2026-03-11 13:34:53 | RetrievalService | DEBUG | NODE NAME: scott derrickson
2026-03-11 13:34:53 | RetrievalService | DEBUG | NODE LABELS: ['Entity', 'Indexable']
2026-03-11 13:34:53 | RetrievalService | DEBUG | NODE TYPE: N/A
2026-03-11 13:34:53 | RetrievalService | DEBUG | FULL SUMMARY (609 chars):
2026-03-11 13:34:53 | RetrievalService | DEBUG | Scott Derrickson (born July 16, 1966) is an American director, screenwriter, and producer. He lives in Los Angeles, California. He is best known for directing horror films such as "Sinister", "The Exorcism of Emily Rose", and "Deliver Us From Evil", as well as the 2016 Marvel Cinematic Universe installment, "Doctor Strange." "Sinister" (2012) was directed by him and stars Ethan Hawke. "Deliver Us from Evil" (2014) was also directed by him and produced by Jerry Bruckheimer. He has collaborated with directors like Zack Snyder, Rob Zombie, Neil Marshall, William Friedkin, Scott Derrickson, and James Gunn.
2026-03-11 13:34:53 | RetrievalService | DEBUG | LINKED NOTES (2):
2026-03-11 13:34:53 | RetrievalService | DEBUG |   - Tyler Bates (1b33a599-8c81-48bd-a281-0ccd9c063f28)
2026-03-11 13:34:53 | RetrievalService | DEBUG |   - Adam Collis (84de2b35-d3d3-4a25-b755-906b5764992a)
2026-03-11 13:34:53 | RetrievalService | DEBUG | TEXT SENT TO LLM (1116 chars):
2026-03-11 13:34:53 | RetrievalService | DEBUG | scott derrickson, a Person, has context "Scott Derrickson (born July 16, 1966) is an American director, screenwriter, and producer. He lives in Los Angeles, California. He is best known for directing horror films such as "Sinister", "The Exorcism of Emily Rose", and "Deliver Us From Evil", as well as the 2016 Marvel Cinematic Universe installment, "Doctor Strange." "Sinister" (2012) was directed by him and stars Ethan Hawke. "Deliver Us from Evil" (2014) was also directed by him and produced by Jerry Bruckheimer. He has collaborated with directors like Zack Snyder, Rob Zombie, Neil Marshall, William Friedkin, Scott Derrickson, and James Gunn." and is connected to "deliver us from evil" (He is best known for directing horror films such as "Sinister", "The Exorcism of Emily Rose", and "Deliver Us From Evil"); "doctor strange" (as well as the 2016 Marvel Cinematic Universe installment, "Doctor Strange".); "sinister" (He is best known for directing horror films such as "Sinister"); "the ex...
2026-03-11 13:34:53 | RetrievalService | DEBUG | 
--- RESULT 2 ---
2026-03-11 13:34:53 | RetrievalService | DEBUG | TYPE: entity_match
2026-03-11 13:34:53 | RetrievalService | DEBUG | SCORE: 1.00
2026-03-11 13:34:53 | RetrievalService | DEBUG | BOOSTS: {'source': 'entity_match', 'domain': 1.0}
2026-03-11 13:34:53 | RetrievalService | DEBUG | SYMBOLIC IMMUNE: False
2026-03-11 13:34:53 | RetrievalService | DEBUG | NODE NAME: ed wood sr.
2026-03-11 13:34:53 | RetrievalService | DEBUG | NODE LABELS: ['Entity', 'Indexable']
2026-03-11 13:34:53 | RetrievalService | DEBUG | NODE TYPE: N/A
2026-03-11 13:34:53 | RetrievalService | DEBUG | FULL SUMMARY (186 chars):
2026-03-11 13:34:53 | RetrievalService | DEBUG | Ed Wood Sr. was a prominent plantation owner, trader, and businessman at the turn of the 20th century. Woodson and its accompanying Woodson Lake and Wood Hollow are the namesake for him.
2026-03-11 13:34:53 | RetrievalService | DEBUG | LINKED NOTES (1):
2026-03-11 13:34:53 | RetrievalService | DEBUG |   - Woodson_ Arkansas (c684f667-35b8-451f-95df-2b167f1660e3)
2026-03-11 13:34:53 | RetrievalService | DEBUG | TEXT SENT TO LLM (461 chars):
2026-03-11 13:34:53 | RetrievalService | DEBUG | ed wood sr., a Person, has context "Ed Wood Sr. was a prominent plantation owner, trader, and businessman at the turn of the 20th century. Woodson and its accompanying Woodson Lake and Wood Hollow are the namesake for him." and is connected to "wood plantation" (Woodson is adjacent to the Wood Plantation, the largest of the plantations own by Ed Wood Sr.); "woodson" (Woodson and its accompanying Woodson Lake and Wood Hollow are the namesake for Ed Wood Sr…)
2026-03-11 13:34:53 | RetrievalService | DEBUG | 
--- RESULT 3 ---
2026-03-11 13:34:53 | RetrievalService | DEBUG | TYPE: vector_match
2026-03-11 13:34:53 | RetrievalService | DEBUG | SCORE: 0.90
2026-03-11 13:34:53 | RetrievalService | DEBUG | BOOSTS: {'source': 'vector_match', 'domain': 1.0}
2026-03-11 13:34:53 | RetrievalService | DEBUG | SYMBOLIC IMMUNE: False
2026-03-11 13:34:53 | RetrievalService | DEBUG | NODE NAME: edward davis wood jr.
2026-03-11 13:34:53 | RetrievalService | DEBUG | NODE LABELS: ['Entity', 'Indexable']
2026-03-11 13:34:53 | RetrievalService | DEBUG | NODE TYPE: N/A
2026-03-11 13:34:53 | RetrievalService | DEBUG | FULL SUMMARY (151 chars):
2026-03-11 13:34:53 | RetrievalService | DEBUG | Edward Davis Wood Jr. was an American filmmaker, actor, writer, producer, and director. He was born on October 10, 1924, and died on December 10, 1978.
2026-03-11 13:34:53 | RetrievalService | DEBUG | LINKED NOTES (1):
2026-03-11 13:34:53 | RetrievalService | DEBUG |   - Ed Wood (5e69dac3-747d-4b8b-a066-fd48a952acb1)
2026-03-11 13:34:53 | RetrievalService | DEBUG | TEXT SENT TO LLM (198 chars):
2026-03-11 13:34:53 | RetrievalService | DEBUG | edward davis wood jr., a Person, has context "Edward Davis Wood Jr. was an American filmmaker, actor, writer, producer, and director. He was born on October 10, 1924, and died on December 10, 1978."
2026-03-11 13:34:53 | RetrievalService | DEBUG | 
--- RESULT 4 ---
2026-03-11 13:34:53 | RetrievalService | DEBUG | TYPE: vector_match
2026-03-11 13:34:53 | RetrievalService | DEBUG | SCORE: 0.90
2026-03-11 13:34:53 | RetrievalService | DEBUG | BOOSTS: {'source': 'vector_match', 'domain': 1.0}
2026-03-11 13:34:53 | RetrievalService | DEBUG | SYMBOLIC IMMUNE: False
2026-03-11 13:34:53 | RetrievalService | DEBUG | NODE NAME: johnny depp
2026-03-11 13:34:53 | RetrievalService | DEBUG | NODE LABELS: ['Entity', 'Indexable']
2026-03-11 13:34:53 | RetrievalService | DEBUG | NODE TYPE: N/A
2026-03-11 13:34:53 | RetrievalService | DEBUG | FULL SUMMARY (126 chars):
2026-03-11 13:34:53 | RetrievalService | DEBUG | Johnny Depp is a star in the 1994 American biographical period comedy-drama film Ed Wood, directed and produced by Tim Burton.
2026-03-11 13:34:53 | RetrievalService | DEBUG | LINKED NOTES (1):
2026-03-11 13:34:53 | RetrievalService | DEBUG |   - Ed Wood _film_ (eb77a1ff-9346-43e5-8b06-19acd72f0f16)
2026-03-11 13:34:53 | RetrievalService | DEBUG | TEXT SENT TO LLM (163 chars):
2026-03-11 13:34:53 | RetrievalService | DEBUG | johnny depp, a Person, has context "Johnny Depp is a star in the 1994 American biographical period comedy-drama film Ed Wood, directed and produced by Tim Burton."
2026-03-11 13:34:53 | RetrievalService | DEBUG | 
--- RESULT 5 ---
2026-03-11 13:34:53 | RetrievalService | DEBUG | TYPE: entity_match
2026-03-11 13:34:53 | RetrievalService | DEBUG | SCORE: 0.69
2026-03-11 13:34:53 | RetrievalService | DEBUG | BOOSTS: {'source': 'entity_match', 'domain': 1.0}
